date,id_sku,salesvolume
2009-01-01,15604,1
2009-01-01,24089,1
2009-01-01,46135,1
2009-01-01,46902,1
2009-01-01,59042,1
2009-01-01,75320,1
2009-01-01,83524,1
2009-01-01,201676,7
2009-01-02,15604,0
2009-01-02,24089,2
2009-01-02,46135,1
2009-01-02,46902,1
2009-01-02,59042,1
2009-01-02,75320,0
2009-01-02,83524,1
2009-01-02,201676,3
2009-01-03,15604,3
2009-01-03,24089,2
2009-01-03,46135,1
2009-01-03,46902,2
2009-01-03,59042,1
2009-01-03,75320,0
2009-01-03,83524,0
2009-01-03,201676,6
2009-01-04,15604,0
2009-01-04,24089,3
2009-01-04,46135,7
2009-01-04,46902,3
2009-01-04,59042,0
2009-01-04,75320,0
2009-01-04,83524,1
2009-01-04,201676,6
2009-01-05,15604,1
2009-01-05,24089,3
2009-01-05,46135,2
2009-01-05,46902,0
2009-01-05,59042,4
2009-01-05,75320,0
2009-01-05,83524,1
2009-01-05,201676,6
2009-01-06,15604,0
2009-01-06,24089,1
2009-01-06,46135,1
2009-01-06,46902,0
2009-01-06,59042,3
2009-01-06,75320,4
2009-01-06,83524,1
2009-01-06,201676,7
2009-01-07,15604,1
2009-01-07,24089,0
2009-01-07,46135,5
2009-01-07,46902,1
2009-01-07,59042,2
2009-01-07,75320,2
2009-01-07,83524,2
2009-01-07,201676,7
2009-01-08,15604,3
2009-01-08,24089,0
2009-01-08,46135,0
2009-01-08,46902,3
2009-01-08,59042,2
2009-01-08,75320,1
2009-01-08,83524,0
2009-01-08,201676,6
2009-01-09,15604,0
2009-01-09,24089,1
2009-01-09,46135,5
2009-01-09,46902,4
2009-01-09,59042,3
2009-01-09,75320,0
2009-01-09,83524,3
2009-01-09,201676,9
2009-01-10,15604,4
2009-01-10,24089,2
2009-01-10,46135,2
2009-01-10,46902,4
2009-01-10,59042,2
2009-01-10,75320,1
2009-01-10,83524,2
2009-01-10,201676,0
2009-01-11,15604,1
2009-01-11,24089,8
2009-01-11,46135,4
2009-01-11,46902,4
2009-01-11,59042,1
2009-01-11,75320,2
2009-01-11,83524,3
2009-01-11,201676,2
2009-01-12,15604,2
2009-01-12,24089,3
2009-01-12,46135,5
2009-01-12,46902,1
2009-01-12,59042,1
2009-01-12,75320,2
2009-01-12,83524,5
2009-01-12,201676,0
2009-01-13,15604,1
2009-01-13,24089,5
2009-01-13,46135,3
2009-01-13,46902,2
2009-01-13,59042,2
2009-01-13,75320,2
2009-01-13,83524,4
2009-01-13,201676,1
2009-01-14,15604,0
2009-01-14,24089,1
2009-01-14,46135,1
2009-01-14,46902,1
2009-01-14,59042,2
2009-01-14,75320,0
2009-01-14,83524,1
2009-01-14,201676,0
2009-01-15,15604,6
2009-01-15,24089,7
2009-01-15,46135,2
2009-01-15,46902,1
2009-01-15,59042,3
2009-01-15,75320,0
2009-01-15,83524,4
2009-01-15,201676,0
2009-01-16,15604,2
2009-01-16,24089,0
2009-01-16,46902,1
2009-01-16,59042,3
2009-01-16,75320,0
2009-01-16,83524,5
2009-01-16,201676,0
2009-01-17,15604,1
2009-01-17,24089,0
2009-01-17,46902,2
2009-01-17,59042,3
2009-01-17,75320,3
2009-01-17,83524,2
2009-01-17,201676,1
2009-01-18,15604,5
2009-01-18,24089,1
2009-01-18,46902,3
2009-01-18,59042,2
2009-01-18,75320,2
2009-01-18,83524,1
2009-01-19,15604,1
2009-01-19,46902,2
2009-01-19,59042,2
2009-01-19,75320,0
2009-01-19,83524,1
2009-01-19,201676,2
2009-01-20,15604,0
2009-01-20,46902,2
2009-01-20,59042,1
2009-01-20,75320,0
2009-01-20,83524,0
2009-01-20,201676,2
2009-01-21,15604,1
2009-01-21,46135,1
2009-01-21,46902,1
2009-01-21,59042,1
2009-01-21,75320,2
2009-01-21,83524,0
2009-01-21,201676,1
2009-01-22,15604,3
2009-01-22,46902,2
2009-01-22,59042,1
2009-01-22,83524,0
2009-01-23,15604,5
2009-01-23,46902,3
2009-01-23,59042,2
2009-01-23,83524,0
2009-01-24,15604,7
2009-01-24,46902,5
2009-01-24,59042,5
2009-01-24,83524,0
2009-01-25,15604,1
2009-01-25,46902,4
2009-01-25,59042,4
2009-01-25,83524,0
2009-01-26,15604,2
2009-01-26,46902,2
2009-01-26,59042,1
2009-01-26,83524,0
2009-01-27,15604,5
2009-01-27,46902,2
2009-01-27,59042,2
2009-01-27,83524,2
2009-01-28,15604,3
2009-01-28,46902,8
2009-01-28,59042,4
2009-01-28,83524,1
2009-01-29,15604,3
2009-01-29,46902,3
2009-01-29,59042,6
2009-01-29,83524,0
2009-01-30,15604,4
