iter	RMSE
0	2.576467469
1	2.562154637
2	2.549071102
3	2.53581506
4	2.523082545
5	2.512287343
6	2.499650969
7	2.487664342
8	2.475331883
9	2.462626384
10	2.452250568
11	2.440760412
12	2.429087231
13	2.418819
14	2.407095023
15	2.395847035
16	2.384397665
17	2.373225875
18	2.36099053
19	2.351642382
20	2.342219124
21	2.332871829
22	2.322467368
23	2.313141437
24	2.302623035
25	2.292109126
26	2.281874174
27	2.271779071
28	2.263088712
29	2.253623449
30	2.243524362
31	2.234271788
32	2.226318061
33	2.21795938
34	2.20857949
35	2.20009016
36	2.192021749
37	2.1833278
38	2.17575526
39	2.167403707
40	2.158031062
41	2.148492672
42	2.140015399
43	2.132536649
44	2.124181269
45	2.115356892
46	2.107649362
47	2.099380325
48	2.091443535
49	2.083564442
50	2.076516111
51	2.068705319
52	2.061453659
53	2.054014975
54	2.046956876
55	2.039597782
56	2.031715528
57	2.025319666
58	2.01835692
59	2.012247594
60	2.005501197
61	1.998713681
62	1.99128152
63	1.984350934
64	1.977979702
65	1.971755487
66	1.965250069
67	1.958703368
68	1.952990827
69	1.947287336
70	1.940811546
71	1.935003045
72	1.929269146
73	1.923339744
74	1.917556642
75	1.912535442
76	1.906565483
77	1.900910532
78	1.895195457
79	1.88950851
80	1.88404467
81	1.878938718
82	1.87348031
83	1.868275188
84	1.863902935
85	1.858285705
86	1.852887926
87	1.847724533
88	1.842948034
89	1.838282996
90	1.834465745
91	1.830108157
92	1.825507591
93	1.820744248
94	1.816294326
95	1.811841403
96	1.806721383
97	1.802304623
98	1.798148945
99	1.793754255
100	1.788989068
101	1.78516201
102	1.780757771
103	1.776596373
104	1.772537573
105	1.768923149
106	1.764407053
107	1.760137427
108	1.755462378
109	1.751331576
110	1.747275761
111	1.743382536
112	1.739784177
113	1.735950701
114	1.732025924
115	1.728653461
116	1.724976098
117	1.721756502
118	1.718555222
119	1.715258252
120	1.710879256
121	1.707579896
122	1.703945199
123	1.700567391
124	1.697446737
125	1.694603393
126	1.691246303
127	1.687795763
128	1.684457614
129	1.681002463
130	1.67763649
131	1.674549819
132	1.671540364
133	1.668531969
134	1.665737878
135	1.662850802
136	1.659480168
137	1.657129825
138	1.653590477
139	1.650725571
140	1.647743617
141	1.644734521
142	1.641755541
143	1.639049797
144	1.636461462
145	1.633244419
146	1.630326497
147	1.627640913
148	1.625304398
149	1.622809971
150	1.620507657
151	1.618079734
152	1.615188186
153	1.61277293
154	1.610278388
155	1.607545114
156	1.604980393
157	1.602267332
158	1.600024204
159	1.597774162
160	1.595203295
161	1.593913415
162	1.591481767
163	1.589449011
164	1.587390386
165	1.58448169
166	1.582003373
167	1.579448625
168	1.577565442
169	1.575685818
170	1.572803825
171	1.57043143
172	1.568142509
173	1.566044919
174	1.563871559
175	1.561672312
176	1.559713623
177	1.557571644
178	1.555463416
179	1.553268957
180	1.551394683
181	1.549767019
182	1.547956549
183	1.545981053
184	1.544365753
185	1.54226742
186	1.540099275
187	1.538444801
188	1.536698619
189	1.534752423
190	1.532796919
191	1.531104736
192	1.529096817
193	1.527752931
194	1.526398218
195	1.524435973
196	1.522920112
197	1.521054184
198	1.519550314
199	1.517912343
200	1.516064755
201	1.514418317
202	1.512818545
203	1.511285971
204	1.510011594
205	1.508259606
206	1.506697836
207	1.504931207
208	1.502950267
209	1.501407324
210	1.499811158
211	1.498250516
212	1.496643815
213	1.495031375
214	1.493894968
215	1.492147771
216	1.490756723
217	1.489313953
218	1.48773514
219	1.486172804
220	1.484842298
221	1.483346739
222	1.482042005
223	1.480805843
224	1.479322082
225	1.477861876
226	1.47654096
227	1.475303526
228	1.473971294
229	1.473123107
230	1.471657316
231	1.470405456
232	1.46909603
233	1.467719559
234	1.46651359
235	1.465212193
236	1.46384475
237	1.463013671
238	1.462262081
239	1.461136484
240	1.459748322
241	1.458553365
242	1.457645477
243	1.456314397
244	1.455382094
245	1.45373388
246	1.452820799
247	1.451946597
248	1.450902746
249	1.45009002
250	1.449263462
251	1.448160423
252	1.446912603
253	1.445768649
254	1.444559122
255	1.443346025
256	1.442357719
257	1.441521646
258	1.440451278
259	1.439468504
260	1.439184139
261	1.437937524
262	1.436763421
263	1.435781471
264	1.434844825
265	1.433664341
266	1.432600345
267	1.431619853
268	1.430334308
269	1.429290327
270	1.428067291
271	1.427502648
272	1.426850515
273	1.425847879
274	1.424947456
275	1.423973672
276	1.423313484
277	1.421872418
278	1.420853519
279	1.420050538
280	1.419047588
281	1.417973453
282	1.417274716
283	1.416564364
284	1.41560752
285	1.414790919
286	1.413955004
287	1.413085105
288	1.412245069
289	1.411387791
290	1.410482938
291	1.409575642
292	1.408823317
293	1.40803366
294	1.407213004
295	1.406240037
296	1.405288582
297	1.404370862
298	1.403473699
299	1.402960903
300	1.401798474
301	1.401023998
302	1.400012366
303	1.399286683
304	1.398485647
305	1.398019054
306	1.397806457
307	1.396804283
308	1.396164298
309	1.395509846
310	1.394824287
311	1.394617856
312	1.393937896
313	1.393715748
314	1.392817577
315	1.392576411
316	1.391778004
317	1.390878991
318	1.390232456
319	1.38955134
320	1.388687859
321	1.387910727
322	1.387393925
323	1.387157683
324	1.386499261
325	1.385885584
326	1.385234904
327	1.384550152
328	1.383930504
329	1.383233868
330	1.382499232
331	1.382105457
332	1.381507695
333	1.38130651
334	1.380194179
335	1.379895681
336	1.379433417
337	1.378972714
338	1.378538534
339	1.378345954
340	1.377592704
341	1.377073823
342	1.376877275
343	1.376091002
344	1.37549269
345	1.375180297
346	1.374648205
347	1.373582515
348	1.373398493
349	1.372870891
350	1.372173847
351	1.371569983
352	1.371000254
353	1.370580127
354	1.369972964
355	1.369597366
356	1.36889765
357	1.368465963
358	1.367873754
359	1.366797792
360	1.366257546
361	1.365651637
362	1.365533967
363	1.365101847
364	1.364318926
365	1.363807728
366	1.363385577
367	1.363204303
368	1.362639583
369	1.362410753
370	1.362113827
371	1.361751913
372	1.361277426
