iter	Passed	Remaining
0	11	5907
1	20	5122
2	29	4840
3	37	4681
4	45	4515
5	54	4451
6	62	4400
7	70	4345
8	81	4429
9	89	4403
10	98	4394
11	106	4350
12	116	4361
13	125	4367
14	134	4354
15	144	4361
16	155	4417
17	167	4482
18	178	4510
19	188	4524
20	205	4681
21	215	4678
22	225	4669
23	233	4633
24	241	4596
25	250	4565
26	258	4535
27	267	4514
28	275	4475
29	285	4465
30	292	4427
31	300	4401
32	310	4387
33	321	4400
34	330	4389
35	341	4404
36	350	4386
37	362	4405
38	373	4413
39	383	4413
40	395	4433
41	406	4432
42	415	4414
43	423	4385
44	432	4375
45	441	4357
46	450	4340
47	458	4317
48	468	4307
49	476	4292
50	484	4268
51	494	4261
52	504	4256
53	513	4238
54	522	4227
55	530	4207
56	539	4190
57	547	4168
58	556	4160
59	564	4143
60	574	4133
61	583	4122
62	592	4110
63	600	4089
64	607	4068
65	616	4053
66	624	4036
67	633	4024
68	641	4008
69	650	3998
70	659	3986
71	668	3972
72	677	3960
73	685	3948
74	694	3935
75	702	3920
76	710	3903
77	751	4067
78	760	4055
79	767	4027
80	774	4005
81	781	3983
82	788	3961
83	794	3936
84	801	3913
85	808	3890
86	814	3867
87	821	3844
88	828	3826
89	835	3804
90	841	3783
91	848	3761
92	855	3741
93	861	3722
94	868	3704
95	875	3683
96	882	3665
97	888	3645
98	894	3625
99	901	3607
100	908	3590
101	915	3572
102	921	3552
103	928	3533
104	936	3522
105	942	3503
106	949	3488
107	956	3471
108	962	3453
109	969	3438
110	976	3421
111	982	3404
112	989	3387
113	999	3384
114	1006	3369
115	1013	3354
116	1020	3339
117	1027	3324
118	1034	3313
119	1041	3298
120	1049	3287
121	1056	3273
122	1064	3261
123	1070	3246
124	1078	3235
125	1083	3216
126	1088	3198
127	1094	3179
128	1099	3161
129	1104	3144
130	1109	3125
131	1115	3108
132	1120	3090
133	1125	3074
134	1130	3056
135	1135	3039
136	1140	3023
137	1146	3008
138	1152	2993
139	1158	2977
140	1163	2961
141	1168	2946
142	1174	2931
143	1179	2915
144	1184	2899
145	1189	2883
146	1194	2869
147	1199	2853
148	1205	2838
149	1210	2824
150	1215	2808
151	1220	2794
152	1226	2780
153	1231	2766
154	1236	2752
155	1242	2739
156	1247	2725
157	1252	2711
158	1258	2698
159	1263	2685
160	1268	2671
161	1274	2659
162	1279	2645
163	1284	2631
164	1289	2618
165	1294	2605
166	1299	2592
167	1305	2579
168	1310	2566
169	1315	2552
170	1320	2541
171	1326	2528
172	1331	2516
173	1336	2503
174	1341	2491
175	1346	2479
176	1353	2469
177	1358	2457
178	1363	2444
179	1368	2433
180	1374	2421
181	1379	2409
182	1384	2398
183	1390	2387
184	1395	2375
185	1400	2363
186	1405	2352
187	1410	2341
188	1415	2329
189	1421	2318
190	1426	2307
191	1431	2295
192	1436	2284
193	1440	2272
194	1445	2261
195	1450	2250
196	1456	2239
197	1461	2229
198	1466	2218
199	1472	2208
200	1477	2197
201	1482	2186
202	1487	2176
203	1492	2165
204	1498	2156
205	1504	2146
206	1509	2136
207	1514	2126
208	1519	2116
209	1525	2106
210	1533	2100
211	1538	2090
212	1543	2079
213	1549	2070
214	1554	2060
215	1559	2050
216	1564	2040
217	1570	2030
218	1575	2021
219	1580	2011
220	1585	2002
221	1590	1991
222	1596	1983
223	1602	1974
224	1608	1966
225	1614	1956
226	1620	1948
227	1626	1939
228	1631	1930
229	1637	1922
230	1643	1913
231	1650	1906
232	1656	1898
233	1661	1889
234	1667	1880
235	1672	1871
236	1677	1862
237	1683	1853
238	1688	1843
239	1693	1834
240	1699	1826
241	1704	1817
242	1709	1808
243	1714	1799
244	1719	1789
245	1724	1780
246	1729	1771
247	1735	1763
248	1740	1754
249	1747	1747
250	1753	1739
251	1758	1730
252	1764	1722
253	1770	1714
254	1776	1706
255	1782	1698
256	1788	1691
257	1794	1683
258	1800	1675
259	1805	1666
260	1811	1658
261	1817	1650
262	1822	1642
263	1828	1634
264	1834	1626
265	1840	1618
266	1845	1610
267	1851	1602
268	1856	1594
269	1861	1585
270	1867	1577
271	1872	1569
272	1877	1560
273	1882	1552
274	1887	1544
275	1892	1536
276	1897	1527
277	1903	1519
278	1909	1512
279	1914	1504
280	1919	1496
281	1924	1487
282	1930	1479
283	1935	1471
284	1940	1463
285	1945	1455
286	1950	1447
287	1955	1439
288	1960	1431
289	1966	1423
290	1971	1415
291	1976	1407
292	1980	1399
293	1985	1390
294	1989	1382
295	1994	1374
296	1998	1366
297	2003	1357
298	2007	1349
299	2012	1341
300	2016	1333
301	2021	1325
302	2026	1317
303	2030	1309
304	2035	1301
305	2039	1293
306	2044	1285
307	2048	1277
308	2053	1269
309	2058	1261
310	2063	1253
311	2068	1246
312	2073	1238
313	2078	1231
314	2084	1224
315	2089	1216
316	2094	1209
317	2099	1201
318	2104	1194
319	2109	1186
320	2114	1179
321	2119	1171
322	2140	1173
323	2146	1165
324	2151	1158
325	2156	1151
326	2161	1143
327	2167	1136
328	2172	1129
329	2177	1121
330	2183	1114
331	2191	1108
332	2196	1101
333	2201	1093
334	2206	1086
335	2210	1079
336	2215	1071
337	2220	1064
338	2224	1056
339	2229	1049
340	2234	1041
341	2238	1034
342	2243	1026
343	2247	1019
344	2252	1012
345	2257	1004
346	2261	997
347	2266	989
348	2271	982
349	2275	975
350	2280	968
351	2285	960
352	2290	953
353	2294	946
354	2299	939
355	2304	932
356	2308	924
357	2313	917
358	2318	910
359	2323	903
360	2327	896
361	2332	889
362	2336	881
363	2341	874
364	2346	867
365	2351	860
366	2355	853
367	2360	846
368	2365	839
369	2369	832
370	2374	825
371	2379	818
372	2383	811
373	2389	804
374	2393	797
375	2397	790
376	2402	783
377	2407	777
378	2412	770
379	2416	763
380	2421	756
381	2425	749
382	2430	742
383	2435	735
384	2440	728
385	2444	722
386	2450	715
387	2455	708
388	2460	701
389	2465	695
390	2470	688
391	2475	682
392	2480	675
393	2486	669
394	2491	662
395	2497	655
396	2502	649
397	2507	642
398	2512	635
399	2517	629
400	2522	622
401	2527	616
402	2532	609
403	2537	602
404	2542	596
405	2547	589
406	2552	583
407	2558	576
408	2563	570
409	2568	563
410	2574	557
411	2579	550
412	2584	544
413	2589	537
414	2594	531
415	2599	524
416	2604	518
417	2608	511
418	2613	505
419	2618	498
420	2623	492
421	2628	485
422	2633	479
423	2637	472
424	2642	466
425	2647	459
426	2652	453
427	2657	447
428	2662	440
429	2667	434
430	2672	427
431	2677	421
432	2682	415
433	2688	408
434	2693	402
435	2698	396
436	2703	389
437	2708	383
438	2714	377
439	2719	370
440	2723	364
441	2728	358
442	2733	351
443	2738	345
444	2742	339
445	2747	332
446	2752	326
447	2757	320
448	2762	313
449	2767	307
450	2772	301
451	2776	294
452	2781	288
453	2786	282
454	2791	276
455	2796	269
456	2801	263
457	2807	257
458	2812	251
459	2818	245
460	2823	238
461	2829	232
462	2834	226
463	2839	220
464	2844	214
465	2850	207
466	2855	201
467	2860	195
468	2865	189
469	2871	183
470	2876	177
471	2881	170
472	2886	164
473	2891	158
474	2896	152
475	2901	146
476	2906	140
477	2911	134
478	2916	127
479	2921	121
480	2926	115
481	2931	109
482	2936	103
483	2941	97
484	2946	91
485	2951	85
486	2970	79
487	2975	73
488	2980	67
489	2985	60
490	2990	54
491	2995	48
492	3000	42
493	3004	36
494	3010	30
495	3014	24
496	3019	18
497	3025	12
498	3030	6
499	3035	0
