iter	MAE
0	1.521696253
1	1.50803938
2	1.496750015
3	1.488898638
4	1.481398656
5	1.470524223
6	1.463365818
7	1.456734251
8	1.443599036
9	1.431961317
10	1.425705099
11	1.420160506
12	1.414303464
13	1.408770552
14	1.403356677
15	1.398199292
16	1.392967816
17	1.388136539
18	1.383474616
19	1.373045455
20	1.368398211
21	1.358592426
22	1.354187449
23	1.350257427
24	1.34629412
25	1.342228673
26	1.334789468
27	1.331262582
28	1.327593724
29	1.31935565
30	1.316019115
31	1.312772017
32	1.309627182
33	1.303950748
34	1.301213801
35	1.298420399
36	1.295543571
37	1.288538653
38	1.28591649
39	1.283338779
40	1.280870648
41	1.27833098
42	1.276323366
43	1.274612164
44	1.272787334
45	1.271128432
46	1.269409659
47	1.267737379
48	1.266198139
49	1.26458396
50	1.263367928
51	1.26215941
52	1.260476265
53	1.25931661
54	1.258311323
55	1.257164581
56	1.256214897
57	1.255315815
58	1.254173965
59	1.253192748
60	1.252302908
61	1.251355468
62	1.250140934
63	1.24945583
64	1.248844875
65	1.247961443
66	1.247232678
67	1.246496655
68	1.245466245
69	1.243806553
70	1.243127707
71	1.242681435
72	1.242238263
73	1.241773471
74	1.241337799
75	1.240956862
76	1.240406319
77	1.238991003
78	1.238648001
79	1.238015912
80	1.237595257
81	1.237291578
82	1.236966892
83	1.234537602
84	1.234293581
85	1.234089567
86	1.233858115
87	1.233340493
88	1.233181298
89	1.232866769
90	1.232716435
91	1.232537742
92	1.232351255
93	1.232222879
94	1.231369459
95	1.230501641
96	1.230409592
97	1.230293151
98	1.22971128
99	1.229642936
100	1.229126997
101	1.229036467
102	1.228937586
103	1.2287065
104	1.22863452
105	1.22853997
106	1.228504517
107	1.228421985
108	1.227855843
109	1.227811798
110	1.227739658
111	1.227258296
112	1.227035443
113	1.226915326
114	1.224781011
115	1.224734398
116	1.224584268
117	1.224528518
118	1.224445423
119	1.222227429
120	1.221930753
121	1.221583814
122	1.216952463
123	1.216874557
124	1.215873216
125	1.214096148
126	1.214076722
127	1.214040931
128	1.214006818
129	1.213966132
130	1.213940445
131	1.213654287
132	1.21362724
133	1.21350639
134	1.213278704
135	1.213182411
136	1.213019364
137	1.212970015
138	1.212932237
139	1.212828273
140	1.212816702
141	1.212742529
142	1.211963088
143	1.21188262
144	1.211814222
145	1.211480638
146	1.21141345
147	1.211407007
148	1.211344512
149	1.211324861
150	1.211222582
151	1.211170028
152	1.211104845
153	1.211044846
154	1.211017241
155	1.2107488
156	1.210718679
157	1.210711562
158	1.204847582
159	1.20481124
160	1.204709969
161	1.204636049
162	1.198750795
163	1.198742485
164	1.198725084
165	1.198615725
166	1.198587948
167	1.198542139
168	1.198424331
169	1.198393555
170	1.198389275
171	1.192673123
172	1.192646555
173	1.192604606
174	1.190924996
175	1.190817194
176	1.188757213
177	1.188639858
178	1.188639405
179	1.188514802
180	1.188378588
181	1.188331878
182	1.185894304
183	1.185765088
184	1.180749304
185	1.180668265
186	1.174999271
187	1.170048468
188	1.169576198
189	1.169519498
190	1.167912018
191	1.167890116
192	1.167884115
193	1.162291421
194	1.162280601
195	1.162215329
196	1.162195354
197	1.161751183
198	1.161749724
199	1.161214557
