iter	Passed	Remaining
0	12	2554
1	23	2338
2	48	3159
3	50	2480
4	56	2217
5	63	2054
6	68	1892
7	72	1739
8	93	1986
9	114	2175
10	122	2102
11	146	2293
12	157	2260
13	168	2242
14	176	2173
15	181	2082
16	183	1971
17	191	1933
18	213	2038
19	217	1953
20	220	1879
21	223	1806
22	226	1740
23	234	1718
24	239	1677
25	242	1625
26	251	1608
27	256	1576
28	267	1578
29	290	1646
30	294	1606
31	301	1580
32	307	1556
33	312	1526
34	319	1506
35	338	1544
36	375	1655
37	385	1642
38	392	1618
39	397	1589
40	401	1557
41	417	1571
42	430	1571
43	436	1548
44	443	1526
45	449	1503
46	453	1475
47	456	1446
48	460	1419
49	462	1388
50	469	1372
51	474	1351
52	484	1343
53	486	1314
54	500	1319
55	503	1294
56	506	1270
57	508	1245
58	518	1239
59	531	1240
60	546	1245
61	549	1223
62	552	1201
63	554	1179
64	558	1159
65	561	1139
66	565	1122
67	568	1103
68	571	1084
69	576	1070
70	579	1053
71	587	1044
72	593	1033
73	605	1031
74	618	1031
75	627	1024
76	652	1042
77	657	1028
78	672	1029
79	709	1064
80	722	1062
81	731	1052
82	745	1051
83	754	1041
84	764	1033
85	781	1036
86	809	1050
87	821	1045
88	835	1042
89	848	1037
90	880	1054
91	892	1048
92	911	1048
93	914	1031
94	931	1029
95	940	1018
96	951	1009
97	955	994
98	960	979
99	963	963
100	967	948
101	971	933
102	974	918
103	983	907
104	999	904
105	1003	889
106	1005	874
107	1018	867
108	1022	853
109	1030	843
110	1054	845
111	1057	830
112	1060	816
113	1064	803
114	1067	789
115	1079	781
116	1086	770
117	1088	756
118	1112	757
119	1126	751
120	1142	746
121	1146	732
122	1172	733
123	1184	726
124	1213	727
125	1222	717
126	1227	705
127	1235	694
128	1242	683
129	1252	674
130	1266	666
131	1292	665
132	1298	654
133	1302	641
134	1305	628
135	1309	616
136	1311	603
137	1318	592
138	1321	580
139	1327	569
140	1334	558
141	1343	548
142	1588	633
143	1603	623
144	1627	617
145	1631	603
146	1670	602
147	1676	588
148	1680	575
149	1684	561
150	1690	548
151	1716	541
152	1724	529
153	1736	518
154	1753	509
155	1772	499
156	1793	491
157	1799	478
158	1807	466
159	1812	453
160	1817	440
161	1822	427
162	1827	414
163	1834	402
164	1844	391
165	1849	378
166	1853	366
167	1856	353
168	1865	342
169	1869	329
170	1881	319
171	1888	307
172	1917	299
173	1966	293
174	1979	282
175	1991	271
176	2002	260
177	2014	249
178	2028	238
179	2041	226
180	2047	214
181	2075	205
182	2081	193
183	2085	181
184	2091	169
185	2097	157
186	2105	146
187	2114	134
188	2131	124
189	2136	112
190	2147	101
191	2162	90
192	2166	78
193	2171	67
194	2175	55
195	2183	44
196	2192	33
197	2201	22
198	2216	11
199	2225	0
