iter	RMSE
0	2.139885922
1	2.094704727
2	2.063048115
3	2.038746674
4	2.011636531
5	1.995440161
6	1.975111447
7	1.949277368
8	1.930814551
9	1.911306805
10	1.894973779
11	1.879600671
12	1.846191869
13	1.8245919
14	1.810608716
15	1.787434172
16	1.778055076
17	1.758450143
18	1.748099474
19	1.734511909
20	1.718664431
21	1.707669409
22	1.700958882
23	1.693064894
24	1.684240606
25	1.649928674
26	1.630131865
27	1.601172734
28	1.58731396
29	1.579946204
30	1.57446012
31	1.572598458
32	1.554043131
33	1.528865021
34	1.523901758
35	1.51162731
36	1.491193597
37	1.476693174
38	1.469778757
39	1.447657869
40	1.43174263
41	1.420334598
42	1.415869434
43	1.41245619
44	1.408704578
45	1.389961862
46	1.374538928
47	1.366506158
48	1.358028448
49	1.347903449
50	1.336314408
51	1.326021453
52	1.318610119
53	1.310834029
54	1.307461033
55	1.302856338
56	1.29170713
57	1.281012536
58	1.276633979
59	1.27529597
60	1.271326333
61	1.266926817
62	1.264546797
63	1.25744913
64	1.255481967
65	1.253589777
66	1.247854123
67	1.239319629
68	1.231137799
69	1.227509778
70	1.225014502
71	1.222346082
72	1.218465678
73	1.213577937
74	1.2118705
75	1.210129338
76	1.207259112
77	1.206455602
78	1.204090997
79	1.203063867
80	1.200032954
81	1.195155773
82	1.193670517
83	1.186395454
84	1.184741628
85	1.184160461
86	1.181604681
87	1.180330086
88	1.17927368
89	1.177877559
90	1.175423818
91	1.173882831
92	1.170624841
93	1.169468929
94	1.168134553
95	1.163079132
96	1.158078499
97	1.1573013
98	1.155501641
99	1.151658627
100	1.149835248
101	1.148454659
102	1.1462975
103	1.145677144
104	1.143976531
105	1.142471139
106	1.141662431
107	1.138793384
108	1.136885794
109	1.135257493
110	1.133500929
111	1.132903356
112	1.132209991
113	1.131414011
114	1.127449688
115	1.126830548
116	1.125389466
117	1.123755638
118	1.122729324
119	1.12167087
120	1.120878306
121	1.12032668
122	1.118750998
123	1.115996034
124	1.115124021
125	1.113338407
126	1.112582843
127	1.108113489
128	1.107565109
129	1.103998478
130	1.102667338
131	1.101095432
132	1.099808785
133	1.098927878
134	1.098352999
135	1.097944081
136	1.097587492
137	1.096889649
138	1.093068328
139	1.091202946
140	1.090742456
141	1.089453362
142	1.087559703
143	1.087121651
144	1.083897807
145	1.083553209
146	1.0831793
147	1.082850524
148	1.082455478
149	1.082096068
150	1.081396314
151	1.079085942
152	1.078729648
153	1.078426735
154	1.078075344
155	1.076403791
156	1.074974967
157	1.074017413
158	1.071475515
159	1.071135198
160	1.069795726
161	1.068667144
162	1.068340536
163	1.065112782
164	1.06412201
165	1.06382437
166	1.063573985
167	1.063278848
168	1.06007369
169	1.059772569
170	1.059481692
171	1.059200395
172	1.056992731
173	1.056715863
174	1.056448442
175	1.054480571
176	1.053301188
177	1.052211671
178	1.051385295
179	1.050021455
180	1.049775657
181	1.049538282
182	1.048643385
183	1.046904947
184	1.04513501
185	1.043540018
186	1.043320361
187	1.041943062
188	1.041323345
189	1.041139249
190	1.040220795
191	1.040012361
192	1.03951696
193	1.037737788
194	1.036226825
195	1.034454032
196	1.034271872
197	1.034115708
198	1.032870015
199	1.030262229
200	1.028961877
201	1.028788048
202	1.027634126
203	1.027465276
204	1.027302346
205	1.027144768
206	1.026615626
207	1.025126478
208	1.024377509
209	1.023314291
210	1.022430596
211	1.021017487
212	1.019662888
213	1.019504533
214	1.019352605
215	1.018386537
216	1.017032397
217	1.016237087
218	1.014007725
219	1.012909426
220	1.01275831
221	1.01211481
222	1.011534583
223	1.010845944
224	1.010204249
225	1.010060745
226	1.008911915
