iter	Passed	Remaining
0	1	697
1	2	665
2	3	655
3	5	640
4	6	626
5	7	617
6	8	611
7	9	610
8	11	609
9	12	611
10	13	605
11	14	598
12	15	595
13	17	593
14	18	592
15	19	589
16	20	586
17	21	584
18	23	585
19	24	584
20	25	584
21	26	584
22	28	583
23	29	581
24	30	579
25	31	580
26	33	579
27	34	579
28	35	578
29	36	576
30	37	574
31	39	572
32	40	570
33	41	569
34	42	566
35	43	565
36	45	564
37	46	563
38	47	563
39	48	561
40	50	560
41	51	559
42	52	557
43	53	556
44	54	555
45	56	554
46	57	552
47	58	550
48	59	548
49	60	547
50	62	546
51	63	545
52	64	544
53	65	542
54	66	542
55	68	541
56	69	540
57	70	540
58	72	539
59	73	538
60	74	537
61	76	537
62	77	536
63	78	535
64	79	533
65	80	532
66	82	530
67	83	529
68	84	529
69	86	528
70	87	528
71	88	526
72	89	525
73	91	524
74	92	522
75	93	521
76	94	520
77	96	520
78	97	519
79	98	517
80	100	517
81	101	516
82	102	514
83	103	513
84	104	512
85	106	511
86	107	510
87	108	509
88	110	508
89	111	507
90	112	506
91	114	505
92	115	504
93	116	503
94	117	502
95	119	501
96	120	500
97	121	498
98	122	497
99	123	495
100	125	494
101	126	493
102	127	492
103	128	490
104	130	489
105	131	488
106	132	487
107	133	486
108	135	485
109	136	483
110	137	482
111	138	480
112	140	479
113	141	478
114	142	478
115	144	476
116	145	475
117	146	474
118	147	472
119	149	472
120	150	471
121	151	470
122	152	468
123	154	467
124	155	466
125	156	465
126	157	463
127	159	462
128	160	461
129	161	460
130	162	458
131	164	457
132	165	456
133	166	455
134	168	454
135	169	453
136	170	452
137	172	451
138	173	450
139	174	449
140	176	448
141	177	446
142	178	445
143	179	443
144	180	442
145	182	441
146	183	440
147	184	438
148	185	437
149	186	436
150	188	434
151	189	433
152	190	432
153	192	431
154	193	430
155	194	429
156	195	427
157	197	426
158	198	425
159	199	424
160	201	423
161	202	422
162	203	420
163	204	419
164	206	418
165	207	417
166	208	415
167	209	414
168	211	413
169	212	412
170	213	410
171	214	409
172	216	408
173	217	407
174	218	406
175	220	405
176	221	403
177	222	402
178	223	401
179	225	400
180	226	398
181	227	397
182	228	396
183	230	395
184	231	394
185	232	392
186	233	391
187	235	390
188	236	389
189	237	387
190	239	386
191	240	385
192	241	384
193	242	383
194	244	381
195	245	380
196	246	379
197	248	378
198	249	377
199	250	375
200	251	374
201	253	373
202	254	372
203	255	371
204	257	369
205	258	368
206	259	367
207	260	366
208	262	364
209	263	363
210	264	362
211	265	361
212	267	360
213	268	358
214	269	357
215	270	356
216	272	354
217	273	353
218	274	352
219	275	351
220	277	349
221	278	348
222	279	347
223	280	345
224	282	344
225	283	343
226	284	342
227	285	341
228	287	339
229	288	338
230	289	337
231	290	335
232	292	334
233	293	333
234	294	331
235	295	330
236	296	329
237	298	328
238	299	326
239	300	325
240	301	324
241	303	323
242	304	321
243	305	320
244	306	319
245	307	317
246	309	316
247	310	315
248	311	314
249	312	312
250	314	311
251	315	310
252	316	309
253	318	308
254	319	306
255	320	305
256	321	304
257	323	302
258	324	301
259	325	300
260	326	299
261	328	298
262	329	296
263	330	295
264	332	294
265	333	293
266	334	292
267	336	290
268	337	289
269	338	288
270	339	287
271	340	285
272	342	284
273	343	283
274	344	282
275	346	280
276	347	279
277	348	278
278	350	277
279	351	276
280	352	274
281	353	273
282	355	272
283	356	271
284	357	269
285	359	268
286	360	267
287	361	266
288	362	264
289	364	263
290	365	262
291	366	261
292	368	260
293	369	258
294	370	257
295	372	256
296	373	255
297	374	254
298	376	252
299	377	251
300	378	250
301	379	249
302	381	247
303	382	246
304	383	245
305	385	244
306	386	242
307	387	241
308	388	240
309	389	238
310	391	237
311	392	236
312	393	235
313	395	234
314	396	232
315	397	231
316	399	230
317	400	229
318	402	228
319	403	226
320	404	225
321	405	224
322	407	223
323	408	221
324	409	220
325	411	219
326	412	218
327	413	217
328	415	215
329	416	214
330	417	213
331	419	212
332	420	210
333	421	209
334	423	208
335	424	207
336	425	205
337	426	204
338	428	203
339	429	202
340	430	200
341	432	199
342	433	198
343	434	197
344	435	195
345	437	194
346	438	193
347	439	192
348	440	190
349	442	189
350	443	188
351	445	187
352	446	185
353	447	184
354	449	183
355	450	182
356	451	180
357	452	179
358	454	178
359	455	177
360	456	175
361	457	174
362	459	173
363	460	172
364	461	170
365	463	169
366	464	168
367	466	167
368	467	166
369	469	164
370	470	163
371	472	162
372	473	161
373	474	160
374	476	158
375	477	157
376	479	156
377	480	155
378	481	153
